viewer_id,category,device_type,time_of_day,country,upload_day_of_week,watch_time_ratio,sentiment_score,likes_ratio,comment_count,shares,replay_count,video_length_min,subscriber_before,notification_clicked,commented,shared,session_depth,random_noise,thumbnail_hue,recommended
V00000,Education,Mobile,Morning,US,Mon,0.3086,0.112,0.1263,14,1,2,15,0,1,1,1,5,-0.9894,36,1
V00001,Comedy,TV,Afternoon,US,Sun,0.6544,0.4511,0.1833,8,4,0,12,1,0,1,1,5,1.7737,324,1
V00002,Music,Tablet,Night,CA,Wed,0.6357,0.2176,0.25,3,2,1,12,0,0,1,1,3,0.7943,110,1
V00003,Vlogs,Mobile,Night,UK,Wed,0.9272,0.4227,0.25,6,2,0,10,1,0,1,1,5,0.5022,147,1
V00004,Gaming,TV,Afternoon,AU,Sun,0.5447,0.1986,0.25,5,0,0,8,0,0,1,0,5,1.0992,195,1
V00005,Gaming,Desktop,Afternoon,UK,Tue,0.3307,0.4296,0.25,7,0,1,10,1,1,1,0,5,0.0424,18,1
V00006,Gaming,Tablet,Evening,IN,Tue,0.8493,0.2772,0.1211,17,3,0,15,1,0,1,1,2,-0.1508,247,1
V00007,Tech Reviews,Mobile,Morning,IN,Mon,0.7747,0.5893,0.2054,7,0,1,12,0,1,1,0,3,-0.127,164,1
V00008,Music,TV,Afternoon,CA,Fri,0.8661,-0.0311,0.25,9,1,3,20,0,0,1,1,4,-0.4681,64,0
V00009,Music,Mobile,Afternoon,US,Mon,0.7368,-0.3926,0.0632,13,0,2,20,0,0,1,0,5,0.6946,137,0
V00010,Gaming,Mobile,Afternoon,US,Sun,0.507,-0.0899,0.25,9,1,0,8,1,1,1,1,4,0.9601,135,1
V00011,Comedy,Mobile,Night,IN,Thu,0.3492,0.6862,0.184,1,1,1,5,1,0,1,1,1,0.6814,183,1
V00012,Tech Reviews,Tablet,Afternoon,UK,Sun,0.6064,0.2213,0.25,5,6,2,60,1,0,1,1,3,-0.4452,138,1
V00013,Gaming,TV,Afternoon,UK,Sat,0.3539,0.315,0.0965,1,0,0,30,1,1,1,0,4,-0.5652,309,1
V00014,Gaming,TV,Evening,IN,Fri,0.8286,-0.1204,0.0731,2,0,0,10,1,0,1,0,5,2.2373,336,1
V00015,Gaming,Tablet,Night,IN,Sat,0.945,0.3049,0.1564,15,0,1,8,1,0,1,0,1,-0.3634,279,1
V00016,Education,Mobile,Afternoon,IN,Mon,0.8712,-0.1087,0.152,5,0,1,45,0,0,1,0,3,1.405,127,1
